text,polarity
الحقيقه الفستان اعجبني بس مافهمت نقطة بنات 4 الي 5 سنوات والحجم من 12 الى 18 شهر انا عندي بنت عمرها 4 سنوات وابي اشتري على قدها ممكن تفيدونا,1.0
ممتازة للطفل وحافظة لعينيه بعد الله من دخول الشامبو فيها جودتها نوعاما غريبة لكن تفي بالغرض شكرا لكم,1.0
"سلعة ممتازة جدا"" يمكنني السماع من خلال الجدران والحواجز بوضوح أنصح بها ويمكنك أخافض الصوت ورفعة للسماع أوضح",1.0
مناسبه للأعياد والحفلات,1.0
- إيجابيات و سلبيات بدلة تخسيس رياضية ‫(2XL):,1.0
غير مناسبة لمن يريد الحصول على جسم مشدود تصلح لصاحب جسم مشدود اساسا لاظهار تفاصيل جسمه,-1.0
رائع وانصح به للذي يملك ترهلات فقط,1.0
سلعة ممتازه والتسليم أكثر من جيد من ناحية زمن التسليم كما ان سعرها ممتاز ولا توجد بها أي سلبيات وشكرا لكم,1.0
حلو كتير,1.0
حافظة عملية تغنيك عن حمل المحافظ الكبيرة و المزعجة للجيب ... باستطاعتك الوصول للكرت المهم في وقت قصير جداً,1.0
تحتوي على جيب بسحاب و مواقع كثيرة للبطاقات و حجمها متوسط,1.0
القلم أفضل أما المحفضه سيئة جدا ورديئه الخام,-1.0
اعجبني بشده وانصح به جميع من يعانون من الام في الظهر وخاصة الاشخاص الذين لا يستطيعون اقامة ظهرهم بالشكل الطبيعي المطلوب,1.0
القلم لايطابق المواصفات المذكورة,-1.0
المنتج رائع,1.0
فعلاً بتحافظ على الكروت جدا لانها معدن بس كنت اتمنى ان تكون مفصلات الحافظه اقوى وعموماً هى شكلها جميل جدا وبتجذب اى حد شافها معايا بيقوللى بتتباع فين,1.0
سلعة رائعة بالضبط هي السلعة التي كنت أبحث عنه,1.0
كويسة بس اوعى تقع منك .... لأنها ضعيفة جدا جدا ازحلقت من ايدي و وقعت على السيراميك اتفتت 3 حتت و اتكسرت من غير امل في التصليح,-1.0
لا تكفي لاكثر من ثلاث او اربع بطاقات والسعر مبالغ فيه يعني حوالي 100 ريال,-1.0
ممتازة لو تأتي في كرتون خاص فيها لتكون هدية قيمة,1.0
الحمدلله والصلاة والسلام على رسول الله ...نوعية ممتازة وصلت مغلفة بعناية و في وقت مناسب,1.0
ممتازه من ناحية اشكل الانيق,1.0
شماغ رائع ومميز,1.0
رائعة وعمليه وشيك جدا,1.0
روعه ومطابقه للصوره,1.0
قلم رائع,1.0
جلد طبيعي وجودة عالية,1.0
قلم ممتاز بالنسبة للسعر واسم الماركة اسعار شيروتي بالنسبة للاكسسوارات الرجالية اقلام ومحافظ وكبكات,1.0
جميلة وانيقة ولكن ارى انها صغيره,1.0
مساء الخير، وصلني القلم اليوم لكن للأسف الدائرتين التي تظهر في الصورة باللون الأحمر مختلفة عن الواقع حيث أن القلم الذي وصلني الدائرة لونها أصفر,-1.0
غير متطابقه مع صورة العرض,1.0
منتج ممتاز وعملى جدا لحماية كروت الفيزا والكروت الهامة,1.0
انيقه وجميله وفعلاً عصريه  وتتسع لي البطاقات والاموال  والاوراق الشخصيه  والهاتف الشخصي واعطيها تقيمي الشخصي  بي خمس  نجوم,1.0
السلعة أكثر من رائعة بالنسبة لي ومصنوع من خامة ممتازة و أنيق جدا ومن أجمل ما قمت بشرائه على متجر سوق كوم الرائع،،،,1.0
محفظة مفاتيح رائعة وعملية وخفيفة.,1.0
شماغ رائع,1.0
جيدجداا,1.0
لا انصح احد بشرائها,-1.0
شكرا لتوفير هذه الغترة الرائعة وأتمنى زيادة عدد القطع المعروضة للبيع. فهذه المرة الثانية التي أقوم بشراء هذه السلعة .,1.0
ممتازه ونوعيه طيبه وشكراً على هذه السلعه ونتمنى التقدم والزياده فموقعكم وفر لنا الشي الكثير فجزاكم الله خير,1.0
المنتج غير جيدة ولا انصح به,-1.0
كل شي ممتاز العيب الوحيد تاخر وصلها فقط,1.0
اعطي اكبر من حجمه اضعاف مايستحق,-1.0
الصورة و الوصف يختلف تماما عن السلعة التي استلمتها,1.0
خامة يابانية ممتازة وعالية الجودة,1.0
المقاس مختلف عن المقاس المطلوب,-1.0
قلم ذو شكل فخم وانسيابي عند الكتابة!,1.0
أولا:وفق الله هذه البائعة لكل خير.,1.0
السلعة سيئة وخامتها سيئة جدا وغير عملية ولا تقوم بشد الجسم بالشكل المطلوب  واتقطعت في أول يوم استخدام,-1.0
خفيف الوزن وانيق والسعر ممتاز,1.0
شكلها روعه لاكن اللون مو ذهبي فاقع نفس الصوره شوي افتح,-1.0
السلعة جيده وذو نوعيه رائعه وشكرا على خدمة رائعه منكم,1.0
الشريط الداخلي يطلع من مكانه وتتوسع المحفظة وتصير بدون فائدة,-1.0
جيد جدا للبطاقات للناس التي تحب الاحتفاظات بالبطاقات في السياره كالرخص والهويه وبطاقات الصراف,1.0
جيدة وعملية وتقوم بشد ترهلات الجسم وخاماتها ممتازة .... لكن مشكلتها انها صعبة في الارتداء,1.0
حجمها صغير ورائعه المظهر خصوصا اللو الذهبي,1.0
عملية ولها اكثر من استخدام وسعرها مناسب,1.0
جميل جدا والاجمل شكله وكتابته,1.0
i like it,1.0
جهاز سيئ جدا منتج رديئ وجوده رديئه ولا يستحق اى مبلغ. ولا انصح به احد,-1.0
المكيف جوده سيئة ولا يوجد تبريد إطلاقا لم استفد منه و المبلغه المدفوع فيه مبالغ فيه لعدم وجود تبريد اعرف المكيفات الصحرايه لاكن ليس بجوده هذا المكيف,-1.0
السعر مره غالي انا شريت نفس الفلتر هذا بحوالي ٤٥٠ يغطي ٢٤ متر مربع من اكسترا بتقريبا ٤٥٠ ريال ، و هنا ما احد ذاكر المساحه اللي يغطيها اذا كان نفس الحجم ، فسعره غالي و ادا كان يغطي مساحه اكبر فيمكن يستاهل !! و تحياتي,-1.0
جهاز مفيد وعملي,1.0
جدآ رائعة و صلتني في الوقت المحدد,1.0
ممتازة وخفيفة وسريعة لكن  الافلام غير متوفرة,1.0
انصح فيها وجدا سعرها مناسب,1.0
"سلعة غير عملية , حاولت مرارا وتكرارا استخدمها ولكنها لاتطبع الروسومات , يؤسفنى تقييمها بهذا الشكل فهى سلعة غير جيدة لاتؤدى وظيفتها البتة , لا تخاطر بشراءها .",-1.0
واسعه بتشيل كل حاجه ومبطنه من الداخل علشان مافيش حاجه تتكسر جواها الاسود بتاعها جميل والسوست قويه سهله الحمل لاي مكان ممكن ف شنطه اليد كمان بس تكون الشنطه ف الحجم الوسط او الكبير,1.0
جيد لابأس به,1.0
رائع وسهل الاستخدام. ينظف المناكير الخارج من حدود الظفر. يوجد رأسين احتياطي للتبديل في حالة عطب الرأس المستخدم.,1.0
عديمة الفائدة وسعرها غير مناسب,-1.0
جهاز عملي وسريع ومختصر للوقت في تنظيف البشرة اشكرك ع السعر المميز الله يبارك لك في مالك يارب ويكثر من امثالك,1.0
ممتااااااااااااااااااااااااااااااز,1.0
المنتج رائع - الشحن سريع - متابعة فائقة الجودة من موقع سوق - البائع امين - ساكرر تجربة الشراء من موقع سوق - شكرا موقع سوق - شكرا للبائع - شكرا لشركة ارامكس - مع تحياتي,1.0
راااائعه,1.0
ممتازة جدا وذات جودة  ولجودتها ولاكتمال المواصفات ومصداقيتها,1.0
ساعطي الفرش ذات الشعر الاحمر تقييم: متوسط.,-1.0
المقص ليس عملي ونتائجه سيئة للغاية,-1.0
رووووووعه,1.0
الفرش جدا جميله وعمليه وسعرها جدا مناسب من افضل الفرش الي استخدمتها انصح فيها بشدة وتم وصولها بافضل حاله اسعدني التعامل معك,1.0
شعر الفرشاة جداً ناعم وسعرهاً جداً مناسب شكراً,1.0
الخامه سيئه والسوسته ضعيه وسريعه التلف,-1.0
أتمنى تطويرها لتصبح قطعتين معاً والمقاس يمكن التحكم به,1.0
رائع لكن يفضل علي البائع سرعة التوصيل,1.0
نفس الطلب بحذاقيره ... رائع ... سريع ... دقة ... نظافة ... متعة ... مغامرة في كل رسمة ... ذوق في الرسمات الناعمة جدا جدا جدا ... شكر خاص للبائع الصادق ... وشكر خاص لـ ((( سوق كوم ))),1.0
رائحته جميله ويقوم بالعناية بالبشرة بطريقة لطيفة .. أضف إلى ذلك انه سعره رائع من البائع samiiiii  بمبلغ 30 ريال فقط,1.0
الوان رائعه وجذابه لحبيبات الكافيار لتزيين المناكير. سرعة التوصيل. السعر مناسب. للاسف لاتحتوي على أداة لوضع الحبيبات على المناكير.,1.0
- إيجابيات و سلبيات ليلي انجل آلة الرسم والطباعة على الأظافر,1.0
صابونة اكثر  من رائعة  ونتائجها ممتازة .. واهم شي انها طبيعية  مية بالمية ..,1.0
جيده جداا وانصح بشرائها لانها مريحه جدا وتساعد في ترتيب وتنظيف اظافر القديمين ولا تستهلك جهد كثير ولا وقت  طويل,1.0
عملية وخفيفة وتساعد على ترتيب المظهر,1.0
اكثر من رائع .. وكان تعامل المندوب في قمه الذوق,1.0
السلعة ممتازة، انا جربتها من شخص قبل ما اطلبها ولكن للاسف بعد ما وصلتني زعلت لان التغليف كان سئ مما ادى الى ان السلعة لم تكن صالحة للاستخدام,1.0
المنتج جيد وكما في الصورة و حسب ماتم اختيارة وسعره ممتاز وتم وصولة وهو بحالة ممتازة و تم وصولة في وقت قياسي .,1.0
السلعة ممتازة وسعرها مناسب والبائع سريع في ارسال الشحنات..ويسرني التعامل معه مستقبلاً,1.0
روائح جميلة..,1.0
thanks great item i ever have so i will use it with my canon really love them,1.0
نوعية الخامه جدآ عجبتني وشكلها جميل وانيق,1.0
السعة جيدة مقارنة بسعرها..ويعيبها ضعف قاعدة الشفط..,-1.0
منتج ممتاز لكن سعره غالي,1.0
جييد,1.0
جيده جدا  والبائع سريع فى شحن البضاعه,1.0
المنتج جيد جدا من ناحية المواد المصنعه وسهل الاستخدام  ويوجد حقيبة جميله       بطل,1.0
خفيف الوزن ومصنوع من الالمنيوم,1.0
لا انصح بها أبداً و صعبة الاستخدام لسوء صنعها ........................................................................,-1.0
رسوماتها كبيره وجميله ومختلفه وتوصل بسرعه وتطبع بسرعه وجيدة الصنع معاها كرستالات للزظافر وملقط للكرستالات وواداة تنقيط ممتازه واختصرت علي شراء الادوات,1.0
تم استلام السلعه فى الوقت المحدد ..,1.0
رائعه وشكلها انيق وتناسب الرجال والنساء وقمت بطلب عدد 4,1.0
ممتازة جدا ... ناعمة على البشرة جدا ... فخامة ... ألوان جذابة مريحة نفسيا ... شكر خاص لمصداقية البائع ... وشكر خاص لــ ((( سوق كوم ))),1.0
جودة المنتج ضعيفه ..ولكن سعرها جيد,-1.0
جدا رائعه وانصح فيها بقوه,1.0
منتج غير جيد,-1.0
ممتاز جداً وذو جودة عالية ويستاهل قيمته,1.0
ممتازه جداً انها رائعه للتصوير وومتازه جداً انصح بها الجميع خاصة المصورين بتكون لهم جدا ممتازه وتضبط للمناظر,1.0
جيد للكاميرات الخفيفة,-1.0
بالنسبه للتصوير جيده جدا ولكن نظرا لحجمها الصغير جدا فانها تمثل عيبا فى حملها ولمس الشاشه وغيره.,-1.0
اخيس كاميرا انصحكم بعدو عنها اسألوا مجرب    ابعدو نصيحة لحد يشريه شفوها عندي اذا حولت المقاطع للجوال يطلع الصوت مقطع وتزعجك بالتصوير التقائي وﻻ معها بطاريه يعني ﻻزم تشبكها بالبطاريه دايم,-1.0
ممتازة جدااا,1.0
لا يوجد,1.0
تصويرها ليس جيد وليست HD ..وتصوير غير واضح سيئه جدا...والصوت ليس جيد...كام سيئة بمعنى الكلمه..استخدمتها مره وحده ورميتها,-1.0
منتج جميل جدا,1.0
الكامرا  صعبة في  التصوير والتعامل  والتصوير بها  غير واضح,-1.0
اعتبر انها مفيدة لبعض الاشخاص  خصوصا الذين يودون تحويل الاشرطة القديمة الى سي دي وكذلك في النقل المباشر,1.0
أصلي ١٠٠ %,1.0
منتج رائع وانصح اي شخص فيه بس اتمنى البائعين يبيعوا للاجهزة الاخرى زي الHTC One M8/GALAXY S5/Sony Z3...,1.0
ماشاء الله جميلة و ساعدتني في العرض الصور و الأفلام,1.0
وسعره غالي بالنسبه لتجاري,-1.0
راائعه جدا وشكلهم حلوو ... بس لو فيه منه 3 متر احلى,1.0
usb و خفيف على الجهاز .. صورة جيدة جداً .. لا يحتاج خبرة فى التظبيط .. البرامج الاصلية  على اسطوانة,1.0
منتج سيئ لا يعمل مع الأيفون 5 اس ولا أيباد ميني حيث تظهر رسالة تفيد أن الكيبل  لا يدعم الجهاز (ايفون 5 اس) ولا (ايباد ميني)، حيث تم شراء عدد 2 ولم أستفد منه، وتم إلقائه في القمامة,-1.0
حلوة الفكرة يريت لو تجبلناا للجالكسي بنفس النوعية..^^,1.0
تعمل بشكل جيد,1.0
لم أجدها فى أى مكان فى تبوك وأخيراً وجدتها فى سوق.كوم السلعه ممتاذه البائع ممتاز وأنصح بالشراء من عنده,1.0
I thought it would work on car stereo AUX,1.0
جيدة جدا ومفيدة وسعرها مقبول,1.0
سلعه جدا رائعه وانصح بها لكل من يملك ايباد وايفون,1.0
رائع جدا ، لم اندم لحظة واحدة على شراءه,1.0
"وصلة ممتازة جدا تسمح بتشغيل الفلاش ميموري ع الموبايل ,, ونقل البيانات من الفلاشة إلى الموبايل , ومن الموبايل إلى الفلاشة",1.0
مناسب جداً لحفظ مفاتيح جميع أبواب المنزل يتميز بقوة الخشب المصنوع منه ويعيبه فقط عدم امكانية اقفاله بقفل,1.0
حلوه بس سعرها ما يسوا,-1.0
جميل جدا الله يعطيك العافية.,1.0
جودة جيدة,1.0
شكرآ لتعاملكم الراقي وع الهديه اللي جت مع السواره الله يبارك لكم ان شاء الله,1.0
مطابق للصورة..جودته جيدة..ووصلت بسرعة,1.0
رائعة جدا,1.0
عن جد راائعة ... ناعمة ... ذوق رفيع ... تفاصيل دقيقة ... وااو في اللبس ... أعطيها كل النجووم وأكثر,1.0
لا أنصح بشرا  المنتج و ندمت على ذلك,-1.0
مميزة جدا و عصرية .. و الهدايا التي جاءت مع الطلب دليل على رقي الاخ البائع الكريم. و ستكون فرصة جميلة للشراء منه مرة اخرى.,1.0
جميلة جدا و مغلفة  و الاجمل هي الاساور التي جاءت معها. اشكرك اخي الكريم و فرصة سعيدة للشراء معكم مرة اخرى.,1.0
جميلة جداً وجذابه ....,1.0
ممتازة وفعالة فى تخفيف آلام العظام والمفاصل,1.0
حميلة جداً,1.0
NIIIIIIIIIIIIIIICE,1.0
I recommend this item for a friend.,1.0
جميل وسهل الاستخدام  وسهل الاحتفاظ به,1.0
الملحقات التي تم استلامها مع الجهاز مختلفه تماما عن الموجوده بالصورة,-1.0
اتجاه دوران الرؤوس مختلف عن الاجهزة الاخرى لكنها مفيدة في حواف الاظافر,1.0
"بصراحة البائع في غاية الاحترافية سرعة في تجهيز و شحن السلعة , والسلعة تغليفها ممتاز وجديدة كليا .",1.0
السعو مبالغ فيه جداا,1.0
فكرة رائعة جدا ... سريعة ... للبروفوشنل والمبتدئة والصبايا والأطفال ... فكرة ذكية ... نظافة الصبع على الأصابع ... شكر خاص للبائع الصادق ... وشكر خاص لــ ((( سوق كوم ))),1.0
من الاشياء الجيدة التي حصلت عليها,1.0
Very Low Material and it is not working well at all,-1.0
منتج مميزوجميل,1.0
بأعطيكم تجربتي شوفوا أول ماتشتروا المفرش عرضوه للضوء كم ساعة يكفي لمبة الغرفة بعدها لماتطفوا النور كانك في الفضاء شكل نجوم وعبارة عيون الكون كمان مولعه بصراحة جو رومانسي وخيالي شكرا للبائع وشكرا لسوق كوم,1.0
خفيفه جدا لاتقيء من البرد,-1.0
كم ورد في الوصف,1.0
عطر جميل الرائحة,1.0
- إيجابيات و سلبيات زيت الحشيش الأفغاني الخام لتطويل الشعر والتساقط,1.0
ماتشتغل,-1.0
عمليه جدا  وتسهل علي مستخدمها وضع فرشاته في مكان امن و شكل جميل,1.0
منتج ممتاز وعلمي في نفس الوقت,1.0
البائع قام بالشحن في نفس اليوم,1.0
منتج سيئ للغايه  ولما اشتريتو اشتغل يومين وبعدها باسظ مش راضى يشتغل بمعنى ان انا دفعت فلوس علي الفاضى,-1.0
ممتازه في حال انقطاع التيار الكهربائي...والاطفال يستمتعون ببالاضاءه ...وخروج اامياه منه بشكل انسيابي ورائع,1.0
منتج صينى وخامته رديئة و لم تعمل الالوان المضيئة بعد فترة صغيرة من شرائه ولا يمكن التحكم فى انسيابية الماء وميزته فقط انه يقوم بتغير الالوان المضيئة حسب درجة الحرارة,-1.0
افضل صابونه علي الاطلاق,1.0
جربوها,1.0
بائع سريع جداً ومنتج اكثر من رائع thanks,1.0
رايي عن السلعه بانها فعلا ممتازه وانصح بها اي شخص يرغب في شرائها بان يشتريها ويستخدمها بدون تردد.......,1.0
مره حلوة الصابون الأفريقي,1.0
تستحق الشراء وممتازة ويمكنك ان تصلها بجوال (ايفون او اندرويد) او حتى بجهاز الكمبيوتر.. رائعة لكن سعرها شوي غالي,1.0
البائع شخص صادق في الوصف ومبدع في التغليف والتوصيل سريع جداً والاسعار اكثر من ممتازة انصح بالتعامل معه بشدة ويكفي ان السلعه من مكة المكرمة,1.0
"التوصيل السريع و الجديه في التعامل ,",1.0
السلعة جيدة و أنصح بها,1.0
بصراحه  اثناء استلام الشحن قلت في نفسة اضحك علي .....بس لما استخدمته في مكان مظلم ...صدمت من قوته  وطلع خطير جدا ....حتى اللي حولي يسوؤل من فين اشتريته  ؟,1.0
سيئة لاختلاف مواصفاتها,-1.0
الحقيبة خفيفة الوزن وصغيرة الحجم وخامتها قوية وسعرها مناسب,1.0
مناسبة خصوصا فى الرحلات لصغر حجمه وامكانية حمله و تخزينه بسهولة كذلك مدة العمل الخاص به أراها جيدة,1.0
رائعة جداً  .   و الضوء البيض وقوي .,1.0
سلعه جيده طبعا بعد تعبئتها بالمضخه اليدويه لانه بمجرد تشغيل المضخه الكهربائيه تعطلت بسبب التيار الكهربائي 220 وبعد اطلاعي على الكتيب اتضح لي انه التيار الكهربائي 110 الخاص بالمضخه الهوائيه فلو ذكر نوع التيار بالوصف ماكان صار اللي صار,-1.0
منتج جيد جدا وانصح بإقتنائة ولكن عدد القطع قليل ولكن جيدا عموما,1.0
صعب الغلاف الخارجي+غير متماسگ لـ درجة انگ تحتاج لـ تسنيده على احدى الجدران,-1.0
اعجبني,1.0
بعض المواد غير مطابقة لصورة .,-1.0
بصراحة رائع ومريحة وخاصة في حالة حضور ضيوف فجأة عموماً روعة,1.0
ممتاز وعملي جداً,1.0
"جميله جدا ,,اشتريتها وهي مخفضه ولكن سعرها الحالي غالي عليها",1.0
خامة القماش ممتازة جدا وسرعة وصول المنتج قياسية شكرا,1.0
الاضاءه ضعيفه جدا ولا تستمر اكثر من ساعه,-1.0
ما يشحن تمام ويخلص الشاحن بسرعه والنور ضعيف جدا,-1.0
مواصفات جيده جدا ولكن لوحة النظام الرئيسية او المذر بورد لايعمل,1.0
جهاز منخفض السعر وذا جودة جيدة متناسبة مع سعره,1.0
البائع كان صادق جداً في الوصف وانصح بالتعامل معه بشدة وسريع الاستجابة في عملية البيع والشحن والتغليف رائع,1.0
هذه السلعه قديمة والبائع كان صادق في الوصف والصورة مطابقة للعملة,1.0
البائع طلبت منه اكثر من عملة وصلتني اليوم عملة القطب المتجمد الجنوبي وأرسلي هدية البائع محترم والموقع (سوق.كوم)محترم وأكثر من مرة طلبت سلع وآرامكس التزمو بالوقت اشكر البائع,1.0
بصراحه اسرع بائع تعاملت معه ويشكر على اهتمامه ووصلتني بحالة ممتازه جدا والسعر منافس,1.0
رائع وجميل,1.0
ساعة جميله ومتتازه وحجمها مناسب للمساجد الصغيره او المنزل وسعرها مناسب وبها توقيت هجرى وميلادى ومواقيت الصلاه مع سهولة ظبطها.,1.0
- إيجابيات و سلبيات الحرمين HA.3007 ساعة ومنبه:,1.0
لم يعجبني شيئا و الصناعه رديئة جدا و خفيف الوزن و الصوت ضعيف جدا ولا اعتقد ان يشتغل اكثر من 2 شهر,-1.0
رائعة ومناسبة,1.0
السلام عليكم ورحمة الله وبركاته ممتازة.  جدا لفحص السيارة عن طريق الجوال والكمبيوتر انصح بها وشكراً، ،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،،,1.0
جهاز حلو ومريح بالاستخدام  وانصح به باقي الشباب في حال توفر الجهاز استخدامه لانه يوفر عليك  المصاريف,1.0
جدا مفيده,1.0
سلعة ممتازة و عملية و أنصح بشراءها حيث لا غنى لأي سيارة عنها في حين تعدد الأجهزة المحمولة و التي تشحن من خلال هذا المنفذ  منفذ الولاعة بالاضافة لمنفذ usb  في أداة واحدة بكابل طويل يسهل وضعها في اي,1.0
ممتازة جداً وأنصح لاستخدامها في الرحلات البرية والبحرية وسهولة استخدامها بالإمكان حملها علا كتف لوجود إمدادات خاصة بالكتف,1.0
انصح بشراء المنتج الصراحة ممتاز جدا انصح وبقوه,1.0
عدم المصدقيه في المواصفات,-1.0
الكاميرا جداا رائعه في التصوير النهار فقط,1.0
شاشة كبيرة وتاتش مرن وسريع وخرائط محدثة وجهاز ذو جودة عالية انصح الكل بشرائها كما انها مرفق معها حامل للسيارة وبها مدخل ايه فى ممكن ان تشبك عليها الريسيفر وتعمل كتلفزيون ودى فى دى,1.0
جدا رائعة وسعرها معقولة.. جربتها وأعطتني مشاكل السيارة كلها.,1.0
السلعة ممتازه ومطابقة للمواصفات ، انصح الجميع بتجربتها ، هناك سرعة في توصيل الطلب ، سهلة الاستخدام .,1.0
قطعة ممتازة وفيها مميزات مفيدة جداً خصوصاً إذا كنت كثير السفر بالسيارة تعطيك حرارة اللديتر بالدرجة المئوية وتراقب حاجات كثير,1.0
الشحن سريع.. والسلعة كما في الاعلان .. وكما ذكرت ان اهم ميزه فيها هي ان حجمها صغير .. ولا توجد اي مشكله ... شكرا لكم,1.0
الجهاز عملى ومطابق للمواصفات المعروضة ويمكننى استخدامه كتابليت او تنزيل تطبيقات والاستمتاع اثناء القيادة بتشغيل اليوتيوب والانترنت والتوجيه رائع اكثر من برنامج وخاصة برنامج السايجك وبرنامج البر .. عارف كل الطرق,1.0
سهل الاستخدام ودقيق اعطاني نفس نتائج الورش,1.0
القطعة ممتازة وصغيرة الحجم وسهلة الاستخدام في تشخيص الاعطال انصح باستخدامها من الجميع ووصلت القطعة في زمن قياسي,1.0
القطعة لا بأس بها,-1.0
لم تؤثر على الخدوش ولم يختفي الخدش مثل ماذكر / بل دعايه للحصول على المال فقط / حيث اني استخدمتها للخدوش ولم الاحظ أي تغير على الخدوش,-1.0
السلعة ممتازة وجيدة وأنصح بها من لديه أطفال لحفظ أغراضهم                   وكتبهم ورضعاتهم,1.0
ممتــــــــــــــــــــــتازة جــــــــــــدا جـــــــــــــدا  ولكــــــن خياطـــــــة المنظـــــــم مقعــــــــد السيارة الخلفي كان سيء ولكن طريقة تنظيم الجيوب بالمنظم ممتازة  والتوصيل كان في وقت قصيــــــــــر وممتاز ويشكرون علي فتـــــــرة التوصيــــــل  ...,1.0
ممتاز جدا ؛؛؛؛,1.0
لا انصح بشراء المنتج اولا بسبب السعر ثانيا ليس عليا ولا يزيل الخدوش منتج رديئ,-1.0
خامه رائعه منظمه شكلها رائع وخامتها جميله انصح بها ،،، وحجمها رائع وعمليه تنظم شنطه العربيه وتلاقي حاجتك بسهوله,1.0
الشاحن ممتاز وبسعر  رائع100 ريال فقط,1.0
جيد جداً,1.0
والله اكنس بيدي افضل حرام فلوس راحة فيها,-1.0
المنتج ممتاز جدآ خصوصآ لمن هم اصحاب الخطوط الطويله . جدآ ممتاز وانصح الكل بعدم تفويت هالمنتج . رغم ان البائع جزاه الله خير لم يفصح بمعلومات كثيره عن المنتج وفيه من الفؤاد الكثيره في الالم الظهر .. الخ الا انني بختصر وانصح الكل بإستخدامة ..,1.0
المنتج خفيف وسهل التركيب ويعمل على ايقاف الهواء من الدخول عبر الباب اثناء سير السيارة بسرعة عالية,1.0
صناعة المنتج غير جيدة ورديئة جدا,-1.0
"عملية خلط سائل تنظيف السيارة مع الماء يعطي رغوة لابأس بها , سعر رخيص جدا لجودة عالية , بالتأكيد سأوصي بهذا المنتج",1.0
رائعة جداً,1.0
منتج جميل وملفت للنظر مع الحمايه لداخلية السياره من الشمس,1.0
شي طيب وبا التوفيق,-1.0
سلعة سيئة للغاية ولا تصلح ختى لسيارات الاطفال وليس لها أي فائدة ولا تستحق أكثر من ريالين وحسبنا الله ونعم الوكيل في هذا البائع,-1.0
منتج بسيط الفكره ولكنه عملي ومهم وقد تحتاجه في اي وقت,1.0
ممتازه جدا اعجبتني كثير وعمليه جدا ومن شركه مشهوره سلكها طويل يعني تنفع للجمس او اسكويا او جيب لاخر السياره توصل,1.0
تمت تجربتها على سيارة صغيرة وليس لها اي فائدة,-1.0
البخاخ الذي يستخدم مرة واحدة لايتوفر فيه قطعة القفل (activator) حتى يبدأ الرش ، لذا المنتج الان عديم الفائدة بالنسبة لي.,-1.0
"ممتاز جدا جدا و يغنيك عن فحص السيارة بالكمبيوتر عند الورش بـ 100ريال أو 150 ريال ,",1.0
للاسف قوة الشفط ضعيفة جداً وليس كما هو متوقع في شكلها في الصورة والجودة ضعيفة ايضاً ، ولاانصح احد بها .,-1.0
قمت باستعمال منتجات كثيره لازاله خدش بالسياره بدون فائده,1.0
عملية النفخ سريعة ويعتبر منفاخ انيق نوعا ما ، ورخيص بالنسبة لباقي انواع الاجهزة الاخرى ، والسلعة وصلتني حسب وصف البائع مع وجود حقيبة لحمل المنفاخ,1.0
بلوف الكفرات ممتازة حيث انها بوضعها العادي علي الكفر تعطيك اللون الاخضر طالما الكفر يحتفظ بضغط اعتقد لا يقل عن 32 ويتحول االي اللون الاحمر في حال نقص الهواء عن ذلك,-1.0
السلام عليكم ورحمة الله وبركاته جهاز ممتاز جدا   لفحص أعطال وتشخيص السيارات وشكراً''''''''''''''''''''''''''''',1.0
