ngram,weight
التسمم,-2.59909506308
خايس,-2.59281027386
الاسكريم,-2.58527758041
اكره,-2.58254213773
فلبيني,-2.57380697723
not,-2.56953333257
قليلة,-2.56905604598
بدون طعم,-2.56737723243
مبالغ,-2.56095286767
متدنية,-2.55560351526
اشك,-2.55220591756
تاريخه,-2.54384875012
الطعم و,-2.53692490197
زيوت,-2.5299080691
يبدو,-2.52448655918
المشوار,-2.51230389725
اكلهم مو,-2.50575349448
يفكر,-2.49727856293
اخذ منه,-2.48768210484
زايده,-2.48742724836
سيئة.,-2.48303155236
ادارة,-2.47898882188
دون,-2.47193111657
away,-2.47067517158
بدايته,-2.46450622245
أحياناً,-2.46223842351
ما حلو,-2.45739193281
فشل,-2.44273442773
فرغلى ختييير,-2.43806830292
الطبخ مش,-2.43126792028
مش لذيذ,-2.42870645965
ثانية,-2.42765278598
شيء مميز,-2.41723884256
سعر,-2.40779200866
يمكن,-2.40549446124
غالي,-2.40274098792
فلوسك,-2.40077682597
بكثير,-2.37600824732
العظام,-2.36980248313
طالب,-2.36398720092
على غير,-2.35744292822
معدومة,-2.35553548252
مرفوعة,-2.35457469975
مع الطلب,-2.35020964678
أدخل,-2.34587390518
المطعم غالي,-2.3351874843
من العادي,-2.33234081442
أبداً,-2.31369664492
افضل شي,-2.31144194201
لاغير,-2.28936289678
تجربتي,-2.28349826132
ما يستاهل,-2.27721233488
وماعاد,-2.27653280949
يروح,-2.27344626461
ولكن يعيبه,-2.27149458629
عااااادي,-2.26899414368
بس الطعم,-2.26162308156
شديد,-2.25809682661
يجيب,-2.23194216829
للغاية,-2.22043323026
بانواعها,-2.21919195688
كله.,-2.2085790335
مافي,-2.19861100892
وسعره مرتفع,-2.1959456053
ولقيت,-2.19369665714
بعدم,-2.18031000748
عادي,-2.1722057567
اللي يسوي,-2.16967521184
ولما,-2.16859492875
انصدمت,-2.16350766
من عادي,-2.15969927414
بمطعم,-2.15420162855
اهتمام,-2.13786435225
مهيب,-2.128992297
جيد ولكن,-2.12809908317
سىء,-2.1249524049
وجبة التشيلي,-2.11678859927
بأختصار هذا,-2.11591101061
اللزوم,-2.11257756524
ولا,-2.0964724963
مقاطعته,-2.09162761937
احب قرمشه.,-2.08753109595
مرة،,-2.0724503408
دخل,-2.07178939069
قبل ان,-2.05628591558
الاخيرة,-2.0451094696
النخيل,-2.0382110488
السيئ,-2.03555871776
غالية جداً,-2.02997148499
وتقوم,-2.02932846033
اي طعم,-2.01196094162
ماعنده,-2.01103179201
طعمه زين,-2.01006184661
وانتم بكرامة,-2.00628119595
افضل بكثير,-1.98008727001
جربته مرتين,-1.97859801464
مطعم يستخدم,-1.97694919229
شفته,-1.96656949874
يحط,-1.9648161862
ونعم,-1.95594555665
الوضع,-1.94935781783
بالخارج,-1.93932233016
فخم,-1.9368616448
.. المكان,-1.93400266923
عادي ما,-1.91914425097
مجرد,-1.91847948549
40,-1.91603886757
مع بطاطس,-1.91603514784
عظم,-1.89824895602
20 من,-1.88355251793
يسبب,-1.87340895393
اسبوع,-1.87297116501
رفع,-1.86878222379
خدمات,-1.86293677891
عادي جدا,-1.86123620199
ولكن الآن,-1.85390055763
فهو جيد,-1.84923962521
و غير,-1.84281987277
تحت,-1.8315732617
مدري,-1.82919627337
بسبب,-1.81306291072
بالدهون,-1.81023717261
و منها,-1.79999246465
آكل,-1.79391270668
جدا عن,-1.78495562744
وبيبسي,-1.78337572725
وطلعت,-1.7716709742
واكلت,-1.76998491907
المكي,-1.76919895045
صاحب,-1.75813514842
على الطعم,-1.7482483821
كان,-1.74589948438
والمعسل,-1.74191978017
انعدام,-1.73945526635
الاخوان,-1.73871607874
مناسب لمحبي,-1.73595701253
صغير جدا,-1.7357873315
من 10,-1.72599081944
سييييء,-1.72464252956
مااجمل,-1.72384642769
وبعدها,-1.72311043078
ماله,-1.7216458012
زاد,-1.71922218949
جداً عادي,-1.71357759302
سمعته,-1.70760521125
سمك,-1.70359371084
? ?,-1.70056247248
قبل,-1.69847346445
👎,-1.69722380401
الحمدلله,-1.68796330793
المبالغ,-1.67753444506
خايسه,-1.67506571354
وهم,-1.67060938592
اسوا,-1.66136315071
كتبته,-1.64500275067
اي,-1.64457882425
السندويتشات,-1.64333747163
مرة اخرى,-1.64257828093
العمالة,-1.64250949994
فلبينيه,-1.63896305424
لا أنصح,-1.63084251374
ضمن,-1.62744121114
صار,-1.61484706845
الكوفي,-1.59931921896
سنين,-1.59675352826
مذاقه,-1.58553839309
وحده,-1.57733861781
والاهل,-1.57695646819
التدخين مسموح,-1.56261135681
الرائحة,-1.56242642845
مطعم عادي,-1.5577388083
جداً ولا,-1.53110313577
تاخذ طلبك,-1.53039103972
والحمص,-1.52697434536
مقارنة بالوجبة,-1.52573444383
اكلهم,-1.52464097875
) ),-1.52463383625
في قسم,-1.51589607693
التفاح,-1.51030278919
المطعم السعر,-1.50755369496
نص,-1.50162078514
في الجنوب,-1.49796102999
مكاني,-1.49732142931
ممتازه والجمبري,-1.49583203848
اكل فيه,-1.49356245037
لكن قليل,-1.48980569623
واللحوم,-1.48863763208
الدجاج احلا,-1.487833165
عادي جداً,-1.48754332754
مو لذيذ,-1.48376504622
شعبي جدا,-1.48243665378
النظر,-1.48202413543
جابوا,-1.4810403743
اكمل,-1.47803101499
المخلي,-1.47555065086
ماحبيته,-1.47367112676
الفول,-1.46836708201
بس الاكل,-1.46538485401
جيد بشكل,-1.46424468571
مو زين,-1.46118708314
مستوى النظافة,-1.46018916435
وسخ,-1.45956995145
شريت,-1.45832519492
اما الحين,-1.45161299377
غيروا,-1.44947904169
بيتزا هت,-1.44746920987
يزيد من,-1.44743115951
مهوب,-1.44624430255
دجاج الكنيسة,-1.44383711002
وضعه,-1.4433210925
اولا,-1.43676483388
مره حلوو,-1.4335259724
مشكلته نيء,-1.43134283914
معقول الطعم,-1.43065467729
لايعجبني,-1.42294216378
المطعم عادي,-1.41730139933
انتهى,-1.41579276062
زود,-1.41571142788
اسعار مبالغ,-1.41228710085
اول,-1.40808002316
المستوى,-1.40447290063
اكلهم يمشي,-1.40415733389
الاهتمام,-1.40386693902
جداا,-1.40297225627
رائحه,-1.40280592954
نصف,-1.40234190699
تجربة سيئة,-1.39826462665
تاكل,-1.38405446075
جهتي,-1.38262593108
راح بافلوز,-1.38248686982
ما,-1.37676737113
سيءءءءءءءءءءءءء جداااااااااااا,-1.37476300684
ذاك,-1.36409943948
ثم,-1.36129828133
سبب لنا,-1.35792266337
أربع,-1.35611354397
قديم,-1.3546647099
مهو,-1.35160724523
الاكل,-1.34654521267
ما ينفع,-1.34547299983
ولن,-1.33519591298
حالك,-1.32644119158
الحق,-1.32306162787
مستوى,-1.32203512066
لاطعم,-1.31931196273
اكس,-1.31868620522
ما عجبني,-1.31247938467
تراجع مستمر,-1.30925505617
انك تاكل,-1.29994499858
كابتيلو,-1.29888522351
ضيقه لكن,-1.29301472859
جدا جدا,-1.29088066127
قرمشه.,-1.28221639995
تجيب,-1.28145209997
كني,-1.27946655366
والله اني,-1.27058948548
ماله طعم,-1.27018950434
باردة و,-1.26875782374
يفتقد,-1.25801697135
خخخخ,-1.25638429642
اما الباقي,-1.25405312444
يحترم,-1.24569265318
اللى فى,-1.23513777563
والا,-1.21836328113
اعتقد ان,-1.21738152552
كم,-1.20261959282
مركز,-1.20250084878
يدور,-1.20186253759
الحي والشارع,-1.19925050147
يعجبني ع,-1.18513638272
ثاني,-1.18392421286
الدجاج مب,-1.17285155183
مو,-1.16396998387
مطعم هرفي,-1.15534038651
أفكر,-1.1437135841
الفلوس,-1.14230308497
الديكور والجلسات,-1.14101137981
يبيع,-1.13112047961
رقم 1,-1.12694015322
ما انصح,-1.12050481002
معدومه والطعم,-1.110904453
متميزة عن,-1.10905461969
4/10,-1.1085289612
مافيه,-1.09757634276
بالسعوديه,-1.09705643099
والله مره,-1.09287952208
قدرت,-1.0917395207
عنه,-1.08987064782
كنت,-1.08313070728
يقفل,-1.07737099868
وأسعاره,-1.07663523532
بسم,-1.07630103791
اعطي,-1.07629477198
أخذت,-1.0743528931
قمت,-1.06234323311
زحمه والاكل,-1.06115355706
بصراحة لا,-1.05910110643
ريال,-1.05835913465
بشكل جنوني,-1.05533207504
عن اللزوم,-1.05300004474
تعجبني فطايرهم,-1.05250114156
ديكور هم,-1.05104311381
بعد,-1.05061381795
ماأعجبني,-1.04923783992
بناء,-1.04560745127
الأسعار,-1.04520154504
بصعوبة,-1.03900018152
10/1,-1.03825934674
ارجع,-1.0376532909
الكثير,-1.03399021053
موب,-1.03142320662
وكان,-1.02904585207
بشكل,-1.023838511
السعر الزائد,-1.0199854541
بدون,-1.01829981658
ديكور,-1.01506518491
ماعاد,-1.01125933304
شي عندهم,-1.01101149572
morning,-1.00966390255
وتقاطيع,-1.00767219242
المغص,-1.00299948974
تجربة مريره,-1.00218164234
المطعم مبالغ,-1.00169274984
احسه,-1.00000466399
والجمبري ممتاز,-0.997152630819
عااااادي جدا,-0.994282046445
مافيه مثل,-0.993332603165
مو ذاك,-0.987692238925
! !,-0.983838231988
لتقديمه لحوم,-0.981995222397
شهيتوني وانا,-0.976773456922
في بعض,-0.969210584175
الاهتمام بالجودة,-0.967167728379
لحوم فاسده,-0.965339791742
وريحته,-0.963373088997
اكل عادي,-0.962940095495
لم,-0.961540638376
العلبة,-0.959458292767
الخـرافي,-0.955863141107
قطعتين,-0.947593139158
وغيرها,-0.94682066306
الاكل غير,-0.941100349941
سيء جداً,-0.93176013368
يعجن,-0.931326397195
معفن,-0.928480770905
يقدم اكلات,-0.926680069161
اما,-0.924103851153
على ايش,-0.919372207894
طعم الحلويات.,-0.916980400734
الاخيرة فرع,-0.909009640905
المكان حلو,-0.905871952442
كان طعمها,-0.905637358472
الناس,-0.903180639214
غير نظيف,-0.902130319156
انتهى زمن,-0.902012210816
-- --,-0.901970469869
حقتهم,-0.898253436141
تاخذ,-0.891469580464
زفر,-0.886068470673
وغير,-0.882988261226
المطعم كما,-0.881472333396
دمار,-0.875407920907
والله,-0.873093763023
المكان رائع,-0.872189776652
المطعم في,-0.870020517578
مر,-0.865168407431
لمرة,-0.86490156693
الاكل البارد,-0.864238396929
الرافدين,-0.862116648242
ساعة,-0.859450615263
اقل,-0.856612710359
يصغر,-0.85652998934
كابتيلو ممتازه,-0.848364644428
أبدا,-0.847352462324
الاكل عادي,-0.838637904217
ولا احبووو,-0.836045482335
تغنيكم وموضوع,-0.835735356987
فيها ..,-0.835634441684
من عندهم,-0.830910549137
المقدمه,-0.830886221459
حتى !,-0.829146720079
كلها,-0.827280332525
نفسه,-0.826155346509
فرق عن,-0.823703796643
الرز,-0.82018352597
مطعم يقدم,-0.819919803813
شوي ..,-0.819494158877
تجربة ;,-0.819203900853
فيه طعمم,-0.807466883142
وصار,-0.804620241729
الرخيصة,-0.80192425373
عشان,-0.800158202177
فطايرهم,-0.789553358186
حقتهم أحسن,-0.788468223934
جربت المطعم,-0.780016629227
اخذ,-0.778694886012
فلافل طيب,-0.777851003456
والنكهات,-0.773743080745
والله أعلم,-0.773689149128
كانت,-0.768774693475
له نكه,-0.761539474727
لن اكرر,-0.756277527658
مقابل,-0.755964527934
الشارع والحي,-0.754969935144
قاسي,-0.74943853412
جربته,-0.746759086864
ما ادري,-0.746545576517
اتسممت,-0.735758404918
وانتم,-0.732556514113
يابسة و,-0.728813083468
باسكن,-0.723393728426
وتأخر,-0.721625888135
واحده,-0.719219657984
اعلى,-0.716628387703
السعر غاااااااااااااااااااااااااااااااااااااااااااالي,-0.712098276708
اخر مره,-0.711533643925
عن باقي,-0.710621474944
الأكل,-0.70834165448
الصحة,-0.708075250509
نوع,-0.705488131229
لكن اللي,-0.704689918012
سيئة جدا,-0.702119559274
والحي,-0.701248899427
والاسعار,-0.700523803111
شحم,-0.698172495862
👌 بمشي,-0.696026872687
مررررررررره طعم,-0.695610289555
وزيادة,-0.692390765573
good morning,-0.692278815645
حتى,-0.692108149491
! في,-0.689761452828
وياخذ اكثر,-0.689317996667
ضعيفة,-0.684527347609
حاطين,-0.678901304959
وبطاطس,-0.677821002185
وأقل,-0.673689341547
ما اكلتة,-0.672277048388
البسبوسة,-0.668253571122
الفرق,-0.665748469624
هذا المطعم,-0.663732218559
موقع,-0.662180108523
المكان جميل,-0.659701774912
فاحش,-0.654045581267
ثانيه,-0.636307040128
جربته مره,-0.636010204165
قلت,-0.634105895342
ناحية النظافة,-0.628668434463
نفسك,-0.62199712124
: //www.youtube.com/watch,-0.620000372641
: (,-0.617596310844
بمشي الحال,-0.614825295512
جيد وخصوصا,-0.614548249628
امكن,-0.613990490914
الباستا,-0.604909345557
صايم,-0.604842922451
ياكل,-0.600648968733
الاساس,-0.599995041685
جداً النظافه,-0.59458222722
عندك,-0.591558777704
ليه,-0.591206581238
لقيت,-0.587546686022
زمان,-0.584010988876
مندي,-0.578313598503
من داخل,-0.564147131894
السعر,-0.56292920755
مباشرة يعجن,-0.549826189731
مب مستوي,-0.54974254568
شاورما,-0.54923635341
الرز الكشميري,-0.541958838514
الفواكه مررررررررره,-0.540441913756
الحمامات,-0.540261785453
الدرجه التقيم,-0.539055139507
قرمشه. الدجاج,-0.535680539076
بيتزا متميزة,-0.531080732785
وجلساته ضيقه,-0.529542523847
الفروع,-0.527383492791
جنة الفواكه,-0.525236343168
جداااااااا,-0.524255417534
تجيك يابسة,-0.522011339353
الباربكيو حقتهم,-0.52064605018
سنع,-0.518917740098
عالفاضي,-0.51516075502
الحدود,-0.512981637527
أكل,-0.510623709002
باسكن هو,-0.507350747189
... جافا,-0.507131484903
ابدا,-0.506428972853
ما فيه,-0.503354663036
3,-0.500955178112
وتقاطيع كويس,-0.498755102689
والصور,-0.497875618463
لكن بعد,-0.497809089497
وتأخير,-0.497608548118
التقييم,-0.495066129925
باستثناء البسبوسة,-0.49502562714
الاخر,-0.493445363285
صلاحيته,-0.492225821293
فيه,-0.491743389735
ليش,-0.480390614874
الكراسي,-0.478099677303
أكلهم وسسسسسط,-0.476923776073
واخر,-0.471836655325
و الديكور,-0.471410551602
افضل منه,-0.470599210502
ساخنة,-0.470463631999
الإهتمام,-0.469154283283
كنتاكي,-0.466818082185
لدرجة,-0.464825256428
وين راح,-0.463726067844
أشوفه مناسب,-0.462393970886
!,-0.454409804875
في الطلبات,-0.453420994228
اكبر,-0.452353487025
يبغالكم,-0.451316631978
مرة أخرى,-0.447950458712
طعم,-0.447772886344
الطعم بين,-0.441408141967
قطعه,-0.441162786348
الحلويات.,-0.440624689589
تنسى تجرب,-0.434350364693
دفعته,-0.432213932909
ماشي حاله,-0.431986223595
والواقع,-0.423458118998
حول,-0.420851977037
الطلبات,-0.419499590925
عندهم الحميس,-0.418335930544
عليك,-0.41563320471
لا يوجد,-0.412453270136
x,-0.410261565991
مريره وسيئه,-0.406543190738
ويختلف الطعم,-0.404909607144
اكلتة مباشرة,-0.403563566666
وخصوصا حمصهم,-0.401729481317
٣٠,-0.400598318985
الطعم,-0.397750253274
25,-0.391923694266
طيب 👌,-0.390262840157
اللحوم,-0.38275394192
الجنون,-0.382212572039
كأنهم,-0.381590705336
،,-0.381439000229
انه مو,-0.3798134514
يكن,-0.37907782579
المطعم فخم,-0.378742143659
البرجر فقط,-0.378734581346
سيءءءءءءءءءءءءء,-0.374480121487
أي,-0.37238357436
عمري اكلتو😃😃😃,-0.372063115396
عامل,-0.370676664055
:,-0.36079078538
اكيد,-0.359745215283
حلو بس,-0.357458248674
ولذيذ ،,-0.355206623279
مثل الكوخ,-0.355198495643
الكاشير,-0.353217373456
فطايرهم بس,-0.352198056376
بالامساك فأفضل,-0.34863965986
نيء اعلب,-0.345941522691
كتب,-0.34561374001
مستوى المطاعم,-0.345286595714
اعلب الدجاج,-0.344053144896
هو الشئ,-0.342687211205
شوربة وتقاطيع,-0.342545967323
.. !,-0.338929868448
بصعوبة تبلعه,-0.338542976376
الحلى شيز,-0.335770004552
بالعربي,-0.334314418677
او,-0.332544049899
خصوصيه المشروبات,-0.332154507114
همبرقر,-0.329979134937
بالفترة الاخيرة,-0.329917884064
مهو مرتب,-0.323696496432
وسسسسسط,-0.316870255772
تايم أفضل,-0.314727378083
الأساسي ماجا,-0.312770700078
انفار,-0.311503966268
امكن ما,-0.310890804095
اجربه,-0.309479486268
، و,-0.30883000497
قذر,-0.308825287542
يتميز بكوكيز,-0.306697080532
لكن الاكل.,-0.30607560168
غير ساتره,-0.305450304771
كان طلبنا,-0.303112891925
لاتعليق,-0.302001734816
الأمريكية,-0.301228684821
اشجعه,-0.300259064299
المشاوي لذيذة,-0.297053818431
في كل,-0.295330974851
من مكاني,-0.287080739204
لكن الحين,-0.286772065443
..,-0.285031354002
ناشف,-0.282615420278
بادر,-0.277863256708
مريره,-0.275499050756
القهوة (,-0.275382871056
your,-0.275149152334
لحد الجنون,-0.273084276964
مختلف,-0.268331730365
واسعارهم,-0.266665915266
تبلعه,-0.266471193658
الهمبرجر بصعوبة,-0.266071195939
طلبنا,-0.265515782838
او بادر,-0.260543734395
من جهتي,-0.25269122489
الوحيد الخـرافي,-0.24962030381
عائلة خمس,-0.245950382558
تحضير,-0.244099876229
يعجبني.. باستثناء,-0.243151053443
انفار يبغالكم,-0.239910615499
والصوره تغنيكم,-0.235843524424
السلام عليكم,-0.233226035532
طعم أفضل,-0.233120646233
~~~,-0.232810991579
الدجاج,-0.232489877011
ماجا بالاخير,-0.232347780294
والشوربه والطبق,-0.231108793159
كيك وتراميسيو,-0.231014937365
اكرر,-0.226862559648
نكه حار,-0.224442387051
جهتي عاجبني,-0.224118167538
يبغالكم عالأقل,-0.221418325093
غريب,-0.220487558287
تجربتي الشخصية,-0.219388939674
زيارته مره,-0.218203427197
مكااااان,-0.21819779833
بمشي,-0.217885590172
وموضوع كامل,-0.217492907436
its good,-0.21555687215
همبرقر رائع,-0.212249878847
//www.youtube.com/watch ?,-0.211746186748
خمس انفار,-0.21029467642
وسيئه,-0.208888722551
صايم ههههه,-0.207386451408
5/10,-0.206984584554
جدا مرتفعة,-0.206585111885
بس مشكلتة,-0.205838981125
ساتره ولافيها,-0.200359169266
فرابي فقط,-0.200141541796
كنت مصاب,-0.198866793659
مرره ولا,-0.196620115078
لا اتذكرة,-0.19278050433
موجود,-0.189337442002
الجلسة,-0.187274779001
اعلب,-0.18667087964
لا طعم,-0.185857839263
ممتاز +,-0.18035525058
وانا صايم,-0.179099466089
بالامساك,-0.178692610076
تأكل,-0.177225799159
لاباس اعطيه,-0.16946665722
من مره,-0.167970140722
خلصنا المقبلات,-0.166273442862
لااستسيغ,-0.166162652825
لااستسيغ الاكل,-0.165655074875
ابدا ابدا,-0.164384034372
المطعم أشوفه,-0.16391163706
والنوعية,-0.162967214872
٣من٥ عنده,-0.162522016909
😌👀 !,-0.161535917122
متوسط وجلساته,-0.160456505165
اخذناه,-0.15961612353
وبذات. الحراق,-0.159350466481
المقبلات والشوربه,-0.158242438375
الكورنيش,-0.15738599409
حجم,-0.156062544723
يخلو,-0.152200133798
عادي وغالين,-0.149991837436
يعجبني..,-0.148393245583
في الاقلاع,-0.148232177849
جيده الحلى,-0.146871347878
من ضمن,-0.146510023651
ولافيها خصوصيه,-0.140152200852
الاكل. ليس,-0.139403435061
ماعدا,-0.139092936043
لأنة. سببلي.,-0.138031831276
انا امكن,-0.137894398854
توقعته,-0.136542122068
٣من,-0.131481969666
عادي ومو,-0.130618329504
//www.youtube.com/watch,-0.130090597058
مايستوي,-0.129206597908
المنيو,-0.12654518972
البارد وخصوصا,-0.125442831133
ناس. مش.,-0.124939273389
فأفضل,-0.122945018195
تغنيكم,-0.122367141695
مااعجبني مرره,-0.120021425124
نص ساعه,-0.119136927197
مايعجبني والنوعية,-0.114219375027
اكلتو😃😃😃,-0.112578793231
والخميس سعر,-0.112160078452
الطاولة,-0.111487570539
مش. حلو.,-0.11100418209
رجعت,-0.110066204321
الاقلاع بالصور,-0.109869501243
فأفضل علاج,-0.107526333682
المرض,-0.107514057586
اتذكرة,-0.10747855997
كذا,-0.106399541603
سببلي. قالون.,-0.10592183929
عالأقل ٧٠٠ريال,-0.105687520644
رازة نفسها,-0.104948840233
شوي وإذا,-0.104413049639
مصاب بالامساك,-0.103307417176
شكلها,-0.103208763847
! كنت,-0.102769828897
وبطلناه,-0.101272661024
بكوكيز,-0.100453737406
هم بعد,-0.0991643694585
ولكن,-0.0960416176212
لك هو,-0.0960066390338
لولا,-0.0922339113108
والحمص وبس,-0.0921795156151
حلو. لأنة.,-0.092158903339
غاااااااااااااااااااااااااااااااااااااااااااالي حيييييييييييييييييييييييييل,-0.0919396536075
بكوكيز فرابي,-0.0895991345697
جنب,-0.0891899403527
و لا,-0.0885707797291
بوفيه الأربعاء,-0.088163736744
حسيت,-0.0868645598061
الخبز ،،،،،🍔,-0.0865870881003
وماتستاهل,-0.0857715946214
اخذناه سفري,-0.0818208788528
تجيه رازة,-0.0814084970015
الدجاج مايستوي,-0.0804068115141
مااجمل طعم,-0.0802064191875
يعجن الخبز,-0.0801897492578
احس اكلهم,-0.0753214911475
يا ناس.,-0.0743096196066
ناس.,-0.0737247977142
تقول,-0.0716262729447
أما,-0.0650310479052
الاقلاع,-0.064468019608
وأقل من,-0.0635288798287
التقيم ٣من,-0.0625704202437
٣من ١٠,-0.0600215707207
المقدم,-0.0594526276706
ومو لهذه,-0.0590906263506
٣من٥,-0.0585191654619
بسم الله,-0.0568552393481
مررره عادي,-0.0560274059491
اربع,-0.0558270283977
،،،،،🍔,-0.0555043135968
أن,-0.0549953910996
علاج لك,-0.054055095009
من الببروني,-0.0532114905273
كأنها,-0.0527713595951
والاشياء,-0.0520980563018
الشخص ٧٠,-0.051358743319
وتراميسيو ممتاز,-0.0512229791237
سببلي.,-0.050097150327
مصاب,-0.0499309041542
غير جيد,-0.0475421485872
اكلت منه,-0.0467390704591
تسممنا,-0.0465187962931
الحلويات. لذيذه,-0.0439793384369
بالاخير اخذناه,-0.0436637698619
البيك. يا,-0.0420835131755
ناس,-0.0405743515978
جيد ..,-0.0403044828749
ولافيها,-0.0395883827838
والنوعية اللي,-0.0372267386022
نفسها وهي,-0.0355241907363
تجرب الرز,-0.0348870271887
المشروبات جيده,-0.0336569378416
😌👀,-0.033033518966
رازة,-0.0275080901858
٢,-0.0257413060509
اللي تجيه,-0.0230257883165
الأربعاء والخميس,-0.0221678285284
مش.,-0.0221495263529
المطعم نفسيه,-0.0210960400821
جيد لاباس,-0.0205476153927
جداً وماتستاهل,-0.0200479589223
عنده بوفيه,-0.0199469189736
ساتره,-0.0198739437452
والطبق الأساسي,-0.0185965667598
ثانيا,-0.0181146019837
نفسيه ...,-0.0172003192219
وهي ~~~,-0.0154873999581
ثالث,-0.0154471293704
ليس متقن,-0.0153105313798
اعطيه ٣من٥,-0.0143046530146
٧٠٠ريال,-0.0141021918003
تسممنا منه,-0.0139718337488
لأنة.,-0.0113805672688
وبطلناه 😌👀,-0.00897899783935
مكاني بس,-0.00756262101572
قالون.,-0.0074473237225
اخرى,-0.00742014239895
وصار مايعجبني,-0.00549791349231
سعر الشخص,-0.00538050185252
وبذات.,-0.00412279921471
منه وبطلناه,-0.00373788150342
وإذا ما,-0.00154040725195
قالون. وبذات.,-0.000930018021791
الشاورما مليانة,2.84603070277e-19
