dname,docid,negcount,poscount,predicted,trueclass,wordcount
SUQ,53.0,2.0,0.0,-1.0,-1.0,35.0
SUQ,54.0,0.0,0.0,-1.0,-1.0,2.0
SUQ,55.0,0.0,2.0,1.0,1.0,19.0
SUQ,56.0,3.0,1.0,1.0,-1.0,5.0
SUQ,57.0,0.0,0.0,-1.0,1.0,8.0
SUQ,58.0,0.0,2.0,1.0,1.0,4.0
SUQ,59.0,1.0,2.0,1.0,1.0,11.0
SUQ,60.0,0.0,0.0,-1.0,-1.0,17.0
SUQ,61.0,0.0,2.0,1.0,1.0,7.0
SUQ,62.0,0.0,2.0,1.0,1.0,6.0
SUQ,63.0,0.0,4.0,1.0,1.0,6.0
SUQ,64.0,0.0,1.0,-1.0,-1.0,6.0
SUQ,65.0,0.0,1.0,1.0,1.0,3.0
SUQ,66.0,0.0,2.0,1.0,1.0,8.0
SUQ,67.0,0.0,1.0,-1.0,-1.0,25.0
SUQ,68.0,2.0,0.0,-1.0,-1.0,2.0
SUQ,69.0,0.0,3.0,-1.0,1.0,20.0
SUQ,70.0,0.0,3.0,-1.0,1.0,31.0
SUQ,71.0,0.0,1.0,1.0,1.0,7.0
SUQ,72.0,0.0,0.0,-1.0,-1.0,14.0
SUQ,73.0,0.0,0.0,-1.0,1.0,7.0
SUQ,74.0,0.0,1.0,1.0,1.0,6.0
SUQ,75.0,0.0,0.0,-1.0,-1.0,9.0
SUQ,76.0,0.0,1.0,1.0,1.0,6.0
SUQ,77.0,3.0,0.0,-1.0,-1.0,3.0
SUQ,78.0,2.0,0.0,-1.0,-1.0,5.0
SUQ,79.0,0.0,7.0,1.0,1.0,61.0
SUQ,80.0,1.0,0.0,-1.0,-1.0,9.0
SUQ,81.0,2.0,2.0,-1.0,-1.0,25.0
SUQ,82.0,0.0,1.0,1.0,1.0,5.0
SUQ,83.0,0.0,2.0,-1.0,1.0,4.0
SUQ,84.0,0.0,2.0,1.0,-1.0,5.0
SUQ,85.0,0.0,1.0,1.0,1.0,5.0
SUQ,86.0,2.0,1.0,-1.0,-1.0,12.0
SUQ,87.0,0.0,0.0,-1.0,-1.0,8.0
SUQ,88.0,0.0,6.0,1.0,1.0,13.0
SUQ,89.0,0.0,2.0,1.0,1.0,21.0
SUQ,90.0,0.0,2.0,-1.0,-1.0,22.0
SUQ,91.0,0.0,1.0,-1.0,-1.0,14.0
SUQ,92.0,1.0,1.0,-1.0,-1.0,6.0
SUQ,93.0,0.0,0.0,-1.0,-1.0,21.0
SUQ,94.0,0.0,1.0,1.0,1.0,2.0
SUQ,95.0,0.0,0.0,1.0,1.0,4.0
SUQ,96.0,0.0,0.0,-1.0,1.0,1.0
SUQ,97.0,0.0,1.0,-1.0,1.0,5.0
SUQ,98.0,0.0,1.0,1.0,-1.0,10.0
SUQ,99.0,0.0,1.0,1.0,1.0,14.0
SUQ,100.0,0.0,1.0,1.0,1.0,21.0
SUQ,101.0,0.0,0.0,-1.0,-1.0,2.0
SUQ,102.0,0.0,1.0,-1.0,-1.0,5.0
SUQ,103.0,0.0,1.0,-1.0,1.0,1.0
SUQ,104.0,1.0,0.0,-1.0,-1.0,4.0
SUQ,105.0,0.0,0.0,-1.0,-1.0,22.0
SUQ,106.0,2.0,0.0,1.0,-1.0,3.0
SUQ,107.0,0.0,3.0,1.0,1.0,19.0
SUQ,108.0,0.0,1.0,1.0,1.0,4.0
SUQ,109.0,1.0,1.0,1.0,-1.0,8.0
SUQ,110.0,1.0,4.0,1.0,1.0,36.0
SUQ,111.0,0.0,4.0,1.0,1.0,32.0
SUQ,112.0,0.0,0.0,-1.0,-1.0,3.0
SUQ,113.0,2.0,0.0,1.0,-1.0,5.0
SUQ,114.0,0.0,1.0,1.0,1.0,7.0
SUQ,115.0,2.0,0.0,-1.0,-1.0,25.0
SUQ,116.0,1.0,2.0,-1.0,1.0,24.0
SUQ,117.0,1.0,1.0,-1.0,-1.0,3.0
SUQ,118.0,1.0,1.0,1.0,1.0,19.0
SUQ,119.0,0.0,0.0,-1.0,-1.0,1.0
SUQ,120.0,2.0,1.0,1.0,-1.0,5.0
SUQ,121.0,0.0,1.0,-1.0,-1.0,2.0
SUQ,122.0,2.0,1.0,-1.0,-1.0,41.0
SUQ,123.0,2.0,3.0,1.0,1.0,18.0
SUQ,124.0,0.0,1.0,-1.0,-1.0,2.0
SUQ,125.0,0.0,1.0,1.0,1.0,1.0
SUQ,126.0,0.0,0.0,-1.0,-1.0,3.0
SUQ,127.0,1.0,0.0,-1.0,-1.0,5.0
SUQ,128.0,0.0,1.0,-1.0,-1.0,57.0
SUQ,129.0,0.0,0.0,1.0,1.0,6.0
SUQ,130.0,0.0,2.0,1.0,1.0,5.0
SUQ,131.0,2.0,3.0,-1.0,-1.0,20.0
SUQ,132.0,0.0,0.0,1.0,1.0,15.0
SUQ,133.0,0.0,1.0,1.0,1.0,2.0
SUQ,134.0,0.0,3.0,1.0,1.0,23.0
SUQ,135.0,1.0,1.0,1.0,1.0,9.0
SUQ,136.0,2.0,1.0,1.0,-1.0,15.0
SUQ,137.0,2.0,1.0,1.0,-1.0,4.0
SUQ,138.0,0.0,1.0,1.0,1.0,4.0
SUQ,139.0,0.0,1.0,1.0,1.0,4.0
SUQ,140.0,0.0,2.0,1.0,1.0,26.0
SUQ,141.0,0.0,0.0,-1.0,1.0,3.0
SUQ,142.0,0.0,1.0,-1.0,-1.0,18.0
SUQ,143.0,0.0,1.0,-1.0,-1.0,41.0
SUQ,144.0,0.0,0.0,-1.0,-1.0,2.0
SUQ,145.0,1.0,2.0,1.0,-1.0,20.0
SUQ,146.0,2.0,1.0,-1.0,-1.0,11.0
SUQ,147.0,3.0,1.0,-1.0,-1.0,3.0
SUQ,148.0,0.0,0.0,-1.0,-1.0,3.0
SUQ,149.0,0.0,0.0,1.0,-1.0,11.0
SUQ,150.0,0.0,1.0,1.0,-1.0,11.0
SUQ,151.0,1.0,1.0,-1.0,-1.0,3.0
SUQ,152.0,1.0,0.0,-1.0,-1.0,12.0
SUQ,153.0,1.0,0.0,-1.0,-1.0,3.0
SUQ,154.0,0.0,2.0,1.0,1.0,9.0
SUQ,155.0,0.0,1.0,-1.0,-1.0,8.0
SUQ,156.0,0.0,0.0,-1.0,1.0,1.0
SUQ,157.0,0.0,0.0,-1.0,1.0,2.0
SUQ,158.0,0.0,1.0,1.0,1.0,4.0
SUQ,159.0,0.0,0.0,-1.0,-1.0,5.0
SUQ,160.0,0.0,2.0,1.0,1.0,5.0
SUQ,161.0,1.0,0.0,-1.0,-1.0,2.0
SUQ,162.0,1.0,2.0,-1.0,-1.0,11.0
SUQ,163.0,0.0,2.0,1.0,1.0,3.0
SUQ,164.0,0.0,1.0,-1.0,-1.0,3.0
SUQ,165.0,0.0,1.0,1.0,1.0,4.0
SUQ,166.0,1.0,2.0,-1.0,-1.0,24.0
SUQ,167.0,0.0,0.0,1.0,1.0,16.0
SUQ,168.0,4.0,2.0,-1.0,-1.0,13.0
SUQ,169.0,2.0,0.0,-1.0,-1.0,13.0
SUQ,170.0,1.0,1.0,1.0,1.0,3.0
SUQ,171.0,0.0,2.0,1.0,1.0,12.0
SUQ,172.0,3.0,1.0,-1.0,-1.0,23.0
SUQ,173.0,3.0,1.0,-1.0,-1.0,29.0
SUQ,174.0,0.0,2.0,1.0,1.0,11.0
SUQ,175.0,0.0,2.0,1.0,1.0,7.0
SUQ,176.0,0.0,0.0,-1.0,-1.0,2.0
SUQ,177.0,0.0,0.0,-1.0,-1.0,3.0
SUQ,178.0,0.0,0.0,-1.0,1.0,9.0
SUQ,179.0,0.0,1.0,1.0,1.0,3.0
SUQ,180.0,1.0,0.0,-1.0,-1.0,4.0
SUQ,181.0,2.0,4.0,1.0,-1.0,28.0
SUQ,182.0,2.0,1.0,-1.0,-1.0,3.0
SUQ,183.0,0.0,2.0,1.0,1.0,4.0
SUQ,184.0,0.0,2.0,1.0,1.0,14.0
SUQ,185.0,0.0,0.0,-1.0,-1.0,6.0
SUQ,186.0,2.0,2.0,-1.0,-1.0,29.0
SUQ,187.0,0.0,2.0,-1.0,1.0,18.0
SUQ,188.0,1.0,0.0,-1.0,-1.0,4.0
SUQ,189.0,1.0,3.0,-1.0,-1.0,33.0
SUQ,190.0,4.0,2.0,-1.0,-1.0,22.0
SUQ,191.0,0.0,4.0,1.0,1.0,22.0
SUQ,192.0,0.0,2.0,1.0,1.0,16.0
SUQ,193.0,1.0,2.0,-1.0,-1.0,24.0
SUQ,194.0,0.0,3.0,1.0,1.0,11.0
SUQ,195.0,1.0,0.0,-1.0,-1.0,7.0
SUQ,196.0,5.0,0.0,-1.0,-1.0,25.0
SUQ,197.0,0.0,1.0,1.0,1.0,6.0
SUQ,198.0,1.0,0.0,-1.0,-1.0,3.0
SUQ,199.0,0.0,1.0,1.0,1.0,2.0
SUQ,200.0,0.0,1.0,1.0,-1.0,3.0
SUQ,201.0,0.0,5.0,1.0,1.0,19.0
SUQ,202.0,0.0,0.0,-1.0,-1.0,7.0
SUQ,203.0,0.0,0.0,-1.0,1.0,7.0
SUQ,204.0,0.0,3.0,1.0,1.0,4.0
SUQ,205.0,0.0,0.0,1.0,1.0,6.0
SUQ,206.0,0.0,0.0,1.0,1.0,6.0
SUQ,207.0,0.0,2.0,1.0,1.0,23.0
SUQ,208.0,0.0,2.0,1.0,1.0,8.0
SUQ,209.0,0.0,0.0,-1.0,-1.0,7.0
SUQ,210.0,0.0,1.0,1.0,1.0,9.0
SUQ,211.0,0.0,4.0,1.0,1.0,18.0
SUQ,212.0,0.0,0.0,-1.0,-1.0,7.0
SUQ,213.0,1.0,2.0,1.0,-1.0,8.0
SUQ,214.0,1.0,1.0,-1.0,-1.0,3.0
SUQ,215.0,0.0,1.0,1.0,1.0,5.0
SUQ,216.0,0.0,3.0,1.0,1.0,18.0
SUQ,217.0,0.0,0.0,1.0,1.0,11.0
SUQ,218.0,0.0,1.0,1.0,1.0,3.0
SUQ,219.0,0.0,2.0,1.0,1.0,5.0
SUQ,220.0,1.0,0.0,-1.0,1.0,10.0
SUQ,221.0,2.0,1.0,-1.0,-1.0,5.0
SUQ,222.0,0.0,3.0,1.0,1.0,21.0
SUQ,223.0,1.0,1.0,-1.0,-1.0,10.0
SUQ,224.0,0.0,0.0,-1.0,1.0,13.0
SUQ,225.0,0.0,0.0,-1.0,-1.0,10.0
SUQ,226.0,0.0,2.0,1.0,1.0,18.0
SUQ,227.0,0.0,2.0,1.0,1.0,27.0
SUQ,228.0,3.0,1.0,-1.0,1.0,29.0
SUQ,229.0,2.0,1.0,-1.0,-1.0,50.0
SUQ,230.0,0.0,1.0,-1.0,1.0,1.0
SUQ,231.0,0.0,0.0,-1.0,-1.0,11.0
SUQ,232.0,1.0,0.0,-1.0,-1.0,5.0
SUQ,233.0,0.0,1.0,-1.0,-1.0,12.0
SUQ,234.0,0.0,0.0,1.0,1.0,3.0
SUQ,235.0,1.0,0.0,1.0,-1.0,17.0
SUQ,236.0,1.0,0.0,1.0,-1.0,2.0
SUQ,237.0,1.0,0.0,1.0,-1.0,7.0
SUQ,238.0,1.0,2.0,-1.0,-1.0,10.0
SUQ,239.0,0.0,2.0,1.0,1.0,11.0
SUQ,240.0,0.0,1.0,-1.0,1.0,10.0
SUQ,241.0,0.0,0.0,1.0,-1.0,5.0
SUQ,242.0,0.0,3.0,1.0,1.0,7.0
SUQ,243.0,0.0,2.0,1.0,-1.0,3.0
SUQ,244.0,4.0,1.0,-1.0,-1.0,50.0
SUQ,245.0,0.0,2.0,1.0,1.0,4.0
SUQ,246.0,0.0,1.0,-1.0,1.0,4.0
SUQ,247.0,0.0,1.0,1.0,1.0,6.0
SUQ,248.0,1.0,1.0,1.0,-1.0,19.0
SUQ,249.0,0.0,0.0,-1.0,-1.0,11.0
SUQ,250.0,0.0,1.0,-1.0,-1.0,7.0
SUQ,251.0,0.0,0.0,-1.0,-1.0,1.0
SUQ,252.0,0.0,1.0,-1.0,1.0,18.0
SUQ,253.0,3.0,4.0,-1.0,-1.0,72.0
SUQ,254.0,1.0,0.0,-1.0,-1.0,2.0
SUQ,255.0,0.0,1.0,-1.0,-1.0,13.0
SUQ,256.0,1.0,2.0,1.0,-1.0,8.0
SUQ,257.0,0.0,0.0,-1.0,-1.0,15.0
SUQ,258.0,0.0,1.0,-1.0,1.0,1.0
SUQ,259.0,3.0,3.0,-1.0,-1.0,25.0
SUQ,260.0,2.0,0.0,-1.0,-1.0,28.0
SUQ,261.0,0.0,1.0,1.0,1.0,40.0
SUQ,262.0,1.0,1.0,-1.0,1.0,10.0
SUQ,263.0,1.0,0.0,-1.0,-1.0,1.0
SUQ,264.0,1.0,0.0,1.0,-1.0,11.0
SUQ,265.0,0.0,2.0,1.0,1.0,5.0
SUQ,266.0,0.0,1.0,1.0,1.0,16.0
SUQ,267.0,0.0,1.0,-1.0,-1.0,6.0
SUQ,268.0,0.0,0.0,1.0,1.0,6.0
SUQ,269.0,2.0,0.0,-1.0,-1.0,4.0
SUQ,270.0,0.0,2.0,-1.0,-1.0,5.0
SUQ,271.0,0.0,0.0,-1.0,-1.0,10.0
SUQ,272.0,0.0,1.0,-1.0,-1.0,26.0
SUQ,273.0,1.0,3.0,1.0,1.0,23.0
SUQ,274.0,1.0,0.0,-1.0,-1.0,6.0
SUQ,275.0,2.0,1.0,-1.0,-1.0,18.0
SUQ,276.0,1.0,0.0,-1.0,-1.0,2.0
SUQ,277.0,0.0,2.0,-1.0,1.0,26.0
SUQ,278.0,0.0,2.0,-1.0,-1.0,21.0
SUQ,279.0,0.0,1.0,1.0,1.0,12.0
SUQ,280.0,0.0,1.0,-1.0,-1.0,6.0
SUQ,281.0,0.0,0.0,-1.0,1.0,4.0
SUQ,282.0,1.0,0.0,-1.0,-1.0,10.0
SUQ,283.0,0.0,0.0,-1.0,-1.0,3.0
SUQ,284.0,0.0,1.0,1.0,1.0,14.0
SUQ,285.0,2.0,1.0,-1.0,-1.0,8.0
SUQ,286.0,0.0,2.0,1.0,1.0,21.0
SUQ,287.0,0.0,0.0,-1.0,1.0,6.0
SUQ,288.0,2.0,1.0,-1.0,-1.0,9.0
SUQ,289.0,0.0,0.0,-1.0,-1.0,4.0
SUQ,290.0,1.0,0.0,-1.0,-1.0,2.0
SUQ,291.0,0.0,1.0,1.0,1.0,19.0
SUQ,292.0,0.0,0.0,-1.0,-1.0,14.0
SUQ,293.0,0.0,3.0,1.0,1.0,8.0
SUQ,294.0,1.0,1.0,-1.0,-1.0,5.0
SUQ,295.0,0.0,2.0,1.0,-1.0,5.0
SUQ,296.0,0.0,1.0,1.0,1.0,2.0
SUQ,297.0,0.0,0.0,1.0,1.0,23.0
SUQ,298.0,0.0,1.0,1.0,1.0,10.0
SUQ,299.0,3.0,6.0,-1.0,-1.0,23.0
SUQ,300.0,0.0,1.0,1.0,1.0,24.0
SUQ,301.0,0.0,2.0,1.0,1.0,12.0
SUQ,302.0,4.0,1.0,-1.0,-1.0,22.0
SUQ,303.0,1.0,0.0,1.0,-1.0,14.0
SUQ,304.0,0.0,2.0,-1.0,1.0,3.0
SUQ,305.0,1.0,0.0,-1.0,-1.0,7.0
SUQ,306.0,1.0,2.0,1.0,1.0,22.0
SUQ,307.0,1.0,0.0,-1.0,-1.0,3.0
SUQ,308.0,0.0,2.0,-1.0,1.0,3.0
SUQ,309.0,1.0,3.0,-1.0,1.0,31.0
SUQ,310.0,1.0,2.0,-1.0,-1.0,11.0
SUQ,311.0,0.0,0.0,-1.0,1.0,3.0
SUQ,312.0,0.0,0.0,1.0,1.0,12.0
SUQ,313.0,0.0,1.0,-1.0,1.0,6.0
SUQ,314.0,0.0,0.0,-1.0,-1.0,11.0
SUQ,315.0,0.0,0.0,-1.0,-1.0,8.0
SUQ,316.0,1.0,0.0,-1.0,-1.0,2.0
SUQ,317.0,1.0,0.0,-1.0,-1.0,1.0
SUQ,318.0,2.0,3.0,-1.0,-1.0,37.0
SUQ,319.0,0.0,1.0,-1.0,-1.0,7.0
SUQ,320.0,0.0,1.0,1.0,1.0,21.0
SUQ,321.0,1.0,0.0,-1.0,-1.0,13.0
SUQ,322.0,1.0,1.0,1.0,-1.0,12.0
SUQ,323.0,0.0,1.0,-1.0,1.0,1.0
SUQ,324.0,0.0,5.0,1.0,1.0,18.0
SUQ,325.0,1.0,4.0,1.0,-1.0,15.0
SUQ,326.0,1.0,0.0,-1.0,-1.0,18.0
SUQ,327.0,0.0,2.0,1.0,1.0,2.0
SUQ,328.0,0.0,1.0,1.0,1.0,19.0
SUQ,329.0,0.0,3.0,-1.0,1.0,5.0
SUQ,330.0,0.0,2.0,1.0,1.0,17.0
SUQ,331.0,0.0,0.0,1.0,1.0,16.0
SUQ,332.0,0.0,1.0,-1.0,1.0,1.0
SUQ,333.0,0.0,1.0,1.0,1.0,22.0
SUQ,334.0,0.0,1.0,-1.0,1.0,3.0
SUQ,335.0,0.0,4.0,1.0,1.0,27.0
SUQ,336.0,1.0,1.0,1.0,1.0,20.0
SUQ,337.0,0.0,2.0,1.0,1.0,10.0
SUQ,338.0,1.0,1.0,-1.0,-1.0,22.0
SUQ,339.0,0.0,2.0,1.0,1.0,21.0
SUQ,340.0,0.0,0.0,1.0,1.0,3.0
SUQ,341.0,1.0,0.0,-1.0,-1.0,5.0
SUQ,342.0,0.0,4.0,1.0,-1.0,25.0
SUQ,343.0,0.0,3.0,1.0,1.0,12.0
SUQ,344.0,0.0,0.0,-1.0,-1.0,13.0
SUQ,345.0,0.0,0.0,1.0,1.0,8.0
TRH,0.0,1.0,0.0,-1.0,-1.0,68.0
TRH,1.0,2.0,2.0,-1.0,-1.0,60.0
TRH,2.0,4.0,4.0,-1.0,-1.0,128.0
TRH,3.0,2.0,11.0,1.0,1.0,192.0
TRH,4.0,9.0,3.0,-1.0,1.0,165.0
TRH,5.0,1.0,3.0,1.0,1.0,115.0
TRH,6.0,3.0,1.0,-1.0,-1.0,100.0
TRH,7.0,6.0,4.0,-1.0,-1.0,158.0
TRH,8.0,7.0,5.0,-1.0,-1.0,309.0
TRH,9.0,0.0,3.0,1.0,1.0,27.0
TRH,10.0,0.0,6.0,1.0,1.0,52.0
TRH,11.0,0.0,8.0,1.0,1.0,52.0
TRH,12.0,0.0,9.0,1.0,1.0,87.0
TRH,13.0,0.0,3.0,1.0,1.0,112.0
TRH,14.0,1.0,2.0,1.0,1.0,111.0
TRH,15.0,4.0,2.0,-1.0,-1.0,47.0
TRH,16.0,4.0,2.0,-1.0,-1.0,178.0
TRH,17.0,0.0,4.0,1.0,1.0,64.0
TRH,18.0,4.0,4.0,-1.0,-1.0,280.0
TRH,19.0,5.0,10.0,-1.0,1.0,225.0
TRH,20.0,4.0,4.0,-1.0,-1.0,61.0
TRH,21.0,0.0,8.0,1.0,1.0,71.0
TRH,22.0,0.0,3.0,1.0,1.0,49.0
TRH,23.0,1.0,2.0,1.0,1.0,131.0
TRH,24.0,2.0,11.0,-1.0,1.0,159.0
TRH,25.0,4.0,6.0,-1.0,-1.0,74.0
TRH,26.0,1.0,6.0,1.0,-1.0,47.0
TRH,27.0,1.0,4.0,-1.0,-1.0,199.0
TRH,28.0,6.0,3.0,-1.0,-1.0,331.0
TRH,29.0,0.0,7.0,1.0,1.0,26.0
TRH,30.0,4.0,5.0,-1.0,-1.0,174.0
TRH,31.0,3.0,2.0,-1.0,-1.0,47.0
TRH,32.0,7.0,0.0,-1.0,-1.0,41.0
TRH,33.0,1.0,5.0,1.0,1.0,129.0
TRH,34.0,1.0,1.0,1.0,-1.0,47.0
TRH,35.0,0.0,4.0,1.0,1.0,55.0
TRH,36.0,1.0,5.0,1.0,1.0,82.0
TRH,37.0,0.0,6.0,1.0,1.0,64.0
TRH,38.0,0.0,6.0,1.0,1.0,41.0
TRH,39.0,0.0,9.0,1.0,1.0,75.0
TRH,40.0,1.0,4.0,1.0,1.0,103.0
TRH,41.0,0.0,5.0,1.0,1.0,117.0
TRH,42.0,6.0,2.0,-1.0,-1.0,71.0
TRH,43.0,1.0,0.0,-1.0,-1.0,124.0
TRH,44.0,0.0,5.0,1.0,1.0,58.0
TRH,45.0,8.0,1.0,-1.0,-1.0,134.0
TRH,46.0,3.0,5.0,1.0,-1.0,50.0
TRH,47.0,2.0,5.0,-1.0,1.0,88.0
TRH,48.0,0.0,4.0,1.0,1.0,42.0
TRH,49.0,4.0,5.0,-1.0,-1.0,153.0
TRH,50.0,7.0,2.0,-1.0,-1.0,105.0
TRH,51.0,1.0,4.0,1.0,-1.0,105.0
TRH,52.0,0.0,9.0,1.0,1.0,35.0
TRH,53.0,0.0,7.0,1.0,1.0,67.0
TRH,54.0,0.0,8.0,1.0,1.0,38.0
TRH,55.0,4.0,12.0,1.0,1.0,334.0
TRH,56.0,6.0,5.0,-1.0,-1.0,176.0
TRH,57.0,1.0,8.0,1.0,1.0,61.0
TRH,58.0,1.0,4.0,1.0,1.0,83.0
TRH,59.0,1.0,4.0,1.0,1.0,113.0
TRH,60.0,4.0,2.0,-1.0,-1.0,104.0
TRH,61.0,0.0,9.0,1.0,1.0,45.0
TRH,62.0,3.0,6.0,1.0,1.0,116.0
TRH,63.0,4.0,3.0,-1.0,-1.0,75.0
TRH,64.0,5.0,2.0,-1.0,-1.0,198.0
TRH,65.0,0.0,1.0,1.0,1.0,50.0
TRH,66.0,2.0,2.0,-1.0,-1.0,129.0
TRH,67.0,1.0,1.0,-1.0,-1.0,55.0
TRH,68.0,2.0,2.0,-1.0,-1.0,111.0
TRH,69.0,5.0,7.0,-1.0,-1.0,229.0
TRH,70.0,1.0,7.0,1.0,1.0,53.0
TRH,71.0,2.0,6.0,-1.0,1.0,117.0
TRH,72.0,5.0,4.0,-1.0,-1.0,293.0
TRH,73.0,1.0,5.0,1.0,1.0,56.0
TRH,74.0,1.0,6.0,1.0,1.0,93.0
TRH,75.0,0.0,4.0,1.0,1.0,46.0
TRH,76.0,0.0,4.0,1.0,1.0,41.0
TRH,77.0,2.0,11.0,1.0,1.0,290.0
TRH,78.0,3.0,0.0,-1.0,-1.0,112.0
TRH,79.0,2.0,7.0,1.0,1.0,94.0
TRH,80.0,1.0,6.0,1.0,1.0,39.0
TRH,81.0,0.0,3.0,1.0,1.0,55.0
TRH,82.0,1.0,7.0,1.0,1.0,51.0
TRH,83.0,5.0,3.0,-1.0,-1.0,75.0
TRH,84.0,8.0,10.0,-1.0,-1.0,417.0
TRH,85.0,6.0,4.0,-1.0,-1.0,116.0
TRH,86.0,10.0,2.0,-1.0,-1.0,222.0
TRH,87.0,0.0,5.0,1.0,1.0,50.0
TRH,88.0,1.0,9.0,-1.0,1.0,158.0
TRH,89.0,0.0,12.0,1.0,1.0,66.0
TRH,90.0,9.0,4.0,-1.0,-1.0,141.0
TRH,91.0,0.0,10.0,1.0,1.0,43.0
TRH,92.0,2.0,2.0,-1.0,-1.0,103.0
TRH,93.0,1.0,2.0,-1.0,-1.0,38.0
TRH,94.0,0.0,7.0,1.0,1.0,59.0
TRH,95.0,6.0,7.0,-1.0,-1.0,143.0
TRH,96.0,3.0,3.0,-1.0,-1.0,48.0
TRH,97.0,2.0,6.0,1.0,1.0,199.0
TRH,98.0,0.0,4.0,1.0,1.0,66.0
TRH,99.0,2.0,0.0,-1.0,-1.0,114.0
TRH,100.0,2.0,8.0,1.0,1.0,93.0
TRH,101.0,2.0,4.0,1.0,1.0,45.0
TRH,102.0,3.0,5.0,-1.0,-1.0,283.0
TRH,103.0,0.0,4.0,1.0,1.0,48.0
TRH,104.0,2.0,3.0,-1.0,-1.0,88.0
TRH,105.0,0.0,8.0,1.0,1.0,63.0
TRH,106.0,3.0,2.0,-1.0,-1.0,138.0
TRH,107.0,2.0,6.0,1.0,1.0,136.0
TRH,108.0,2.0,1.0,-1.0,-1.0,89.0
TRH,109.0,8.0,4.0,-1.0,-1.0,241.0
TRH,110.0,4.0,1.0,-1.0,-1.0,236.0
TRH,111.0,2.0,1.0,-1.0,-1.0,138.0
TRH,112.0,6.0,2.0,-1.0,-1.0,86.0
TRH,113.0,4.0,3.0,-1.0,-1.0,106.0
TRH,114.0,0.0,4.0,1.0,1.0,63.0
TRH,115.0,4.0,4.0,-1.0,-1.0,121.0
TRH,116.0,1.0,8.0,1.0,1.0,79.0
TRH,117.0,0.0,7.0,1.0,1.0,100.0
TRH,118.0,3.0,4.0,1.0,1.0,47.0
TRH,119.0,1.0,11.0,1.0,1.0,190.0
TRH,120.0,2.0,5.0,1.0,1.0,69.0
TRH,121.0,1.0,4.0,1.0,1.0,53.0
